List Rank,Name,Pos,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,TB,GDP,HBP,SH,SF,IBB
1,Gary Sanchez\sanchga01,C,25,89,374,323,51,60,17,0,18,53,1,0,46,94,0.186,131,10,3,0,2,0
2,Greg Bird\birdgr01,1B,25,82,311,272,23,54,16,1,11,38,0,0,30,78,0.199,105,4,5,0,4,1
3,Gleyber Torres\torregl01,2B,21,123,484,431,54,117,16,1,24,77,6,2,42,122,0.271,207,8,5,1,5,3
4,Didi Gregorius\gregodi01,SS,28,134,569,504,89,135,23,5,27,86,10,6,48,69,0.268,249,8,7,1,9,3
5,Miguel Andujar\andujmi01,3B,23,149,606,573,83,170,47,2,27,92,2,1,25,97,0.297,302,9,4,0,4,2
6,Brett Gardner\gardnbr01,LF,34,140,609,530,95,125,20,7,12,45,16,2,65,107,0.236,195,6,5,4,5,0
7,Aaron Hicks\hicksaa01,CF,28,137,581,480,90,119,18,3,27,79,11,2,90,111,0.248,224,1,3,2,6,1
8,Aaron Judge\judgeaa01,RF,26,112,498,413,77,115,22,0,27,67,6,3,76,152,0.278,218,10,4,0,5,3
9,Giancarlo Stanton\stantmi01,DH,28,158,705,617,102,164,34,1,38,100,5,0,70,211,0.266,314,17,8,0,10,5
10,Neil Walker\walkene01,IF,32,113,398,347,48,76,12,1,11,46,0,0,42,87,0.219,123,3,5,0,4,3
11,Austin Romine\rominau01,C,29,77,265,242,30,59,12,0,10,42,1,0,17,67,0.244,101,10,2,1,3,0
12,Luke Voit\voitlu01,1B,27,39,148,132,28,44,5,0,14,33,0,0,15,39,0.333,91,3,1,0,0,0
13,Tyler Austin\austity01,1B,26,34,132,121,16,27,6,0,8,23,1,1,8,53,0.223,57,2,2,0,1,0
14,Andrew McCutchen\mccutan01,OF,31,25,114,87,18,22,2,1,5,10,1,3,22,22,0.253,41,1,4,0,1,0
15,Ronald Torreyes\torrero01,IF,25,41,102,100,9,28,7,1,0,7,0,0,2,16,0.28,37,3,0,0,0,0
16,Kyle Higashioka\higasky01,C,28,29,79,72,6,12,2,0,3,6,0,0,6,16,0.167,23,2,1,0,0,0
17,Tyler Wade\wadety01,2B,23,36,70,66,8,11,4,0,1,5,1,0,4,23,0.167,18,1,0,0,0,0
18,Brandon Drury\drurybr01,UT,25,18,57,51,2,9,2,0,1,7,0,0,5,12,0.176,14,4,1,0,0,0
19,Shane Robinson\robinsh01,UT,33,25,54,49,8,7,1,0,1,2,1,0,4,6,0.143,11,2,0,1,0,0
20,Clint Frazier\frazicl01,UT,23,15,41,34,9,9,3,0,0,1,0,0,5,13,0.265,12,3,2,0,0,0
21,Adeiny Hechavarria\hechaad01,IF,29,18,37,36,3,7,0,0,2,2,1,0,1,10,0.194,13,0,0,0,0,0
22,Jace Peterson\peterja01,OF,28,3,11,10,0,3,0,0,0,0,0,1,1,3,0.3,3,0,0,0,0,0
23,Billy McKinney\mckinbi01,LF,23,2,4,4,0,1,0,0,0,0,0,0,0,1,0.25,1,0,0,0,0,0
24,Masahiro Tanaka\tanakma01,P,29,3,6,6,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
25,Luis Severino\severlu01,P,24,2,5,5,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
26,Lance Lynn\lynnla01,P,31,1,2,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
27,Jonathan Loaisiga\loaisjo01,P,23,1,2,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
28,Sonny Gray\grayso01,P,28,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,Domingo German\germado01,P,25,2,2,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
30,Luis Cessa\cessalu01,P,26,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
31,Dellin Betances\betande01,P,30,5,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
32,Giovanny Gallegos\gallegi01,P,26,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,David Hale\haleda01,P,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,Jordan Montgomery\montgjo01,P,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,Zach Britton\brittza01,P,30,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,Tommy Kahnle\kahnlto01,P,28,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,Aroldis Chapman\chapmar01,P,30,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,Stephen Tarpley\tarplst01,P,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,Chance Adams\adamsch01,P,23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,Justus Sheffield\sheffju01,P,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,Jonathan Holder\holdejo01,P,25,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,CC Sabathia\sabatcc01,P,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,George Kontos\kontoge01,P,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,Chad Green\greench01,P,27,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,David Robertson\roberda01,P,33,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,A.J. Cole\coleaj01,P,26,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,Chasen Shreve\shrevch01,P,27,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,Adam Warren\warread01,P,30,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,J.A. Happ\happja01,P,35,0,0,0,,,,,,,,,,,,,,,,,